text,author,tags
"
      “Don't cry because it's over, smile because it happened.”
  ","<span class=""authorOrTitle"">
    Dr. Seuss
  </span>","attributed-no-source,cry,crying,experience,happiness,joy,life,misattributed-dr-seuss,optimism,sadness,smile,smiling"
"
      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”
  ","<span class=""authorOrTitle"">
    Marilyn Monroe
  </span>","attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst"
"
      “Be yourself; everyone else is already taken.”
  ","<span class=""authorOrTitle"">
    Oscar Wilde
  </span>","attributed-no-source,be-yourself,honesty,inspirational,misattributed-oscar-wilde"
"
      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
  ","<span class=""authorOrTitle"">
    Albert Einstein
  </span>","attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe"
"
      “So many books, so little time.”
  ","<span class=""authorOrTitle"">
    Frank Zappa
  </span>","books,humor"
"
      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”
  ","<span class=""authorOrTitle"">
    Bernard M. Baruch
  </span>","ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter"
"
      “A room without books is like a body without a soul.”
  ","<span class=""authorOrTitle"">
    Marcus Tullius Cicero
  </span>","attributed-no-source,books,simile,soul"
"
      “You've gotta dance like there's nobody watching,","<span class=""authorOrTitle"">
    William W. Purkey
  </span>","dance,heaven,hurt,inspirational,life,love,sing"
"
      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”
  ","<span class=""authorOrTitle"">
    Dr. Seuss
  </span>","attributed-no-source,dreams,love,reality,sleep"
"
      “You only live once, but if you do it right, once is enough.”
  ","<span class=""authorOrTitle"">
    Mae West
  </span>","humor,life"
"
      “Be the change that you wish to see in the world.”
  ","<span class=""authorOrTitle"">
    Mahatma Gandhi
  </span>","action,change,inspirational,philosophy,wish"
"
      “In three words I can sum up everything I've learned about life: it goes on.”
  ","<span class=""authorOrTitle"">
    Robert Frost
  </span>",life
"
      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”
  ","<span class=""authorOrTitle"">
    J.K. Rowling,
  </span>",
"
      “Don’t walk in front of me… I may not follow","<span class=""authorOrTitle"">
    Albert Camus
  </span>","attributed-no-source,friends,friendship,misattributed-albert-camus"
"
      “No one can make you feel inferior without your consent.”
  ","<span class=""authorOrTitle"">
    Eleanor Roosevelt,
  </span>","confidence,inspirational,wisdom"
"
      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”
  ","<span class=""authorOrTitle"">
    C.S. Lewis,
  </span>",friendship
"
      “If you tell the truth, you don't have to remember anything.”
  ","<span class=""authorOrTitle"">
    Mark Twain
  </span>","lies,lying,memory,truth"
"
      “A friend is someone who knows all about you and still loves you.”
  ","<span class=""authorOrTitle"">
    Elbert Hubbard
  </span>","friend,friendship,knowledge,love"
"
      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”
  ","<span class=""authorOrTitle"">
    Maya Angelou
  </span>",
"
      “Always forgive your enemies; nothing annoys them so much.”
  ","<span class=""authorOrTitle"">
    Oscar Wilde
  </span>","attributed-no-source,enemies,forgiveness,strategy"
"
      “To live is the rarest thing in the world. Most people exist, that is all.”
  ","<span class=""authorOrTitle"">
    Oscar Wilde
  </span>",life
"
      “Live as if you were to die tomorrow. Learn as if you were to live forever.”
  ","<span class=""authorOrTitle"">
    Mahatma Gandhi
  </span>","carpe-diem,education,inspirational,learning"
"
      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”
  ","<span class=""authorOrTitle"">
    Martin Luther King Jr.,
  </span>","darkness,drive-out,hate,inspirational,light,love,peace"
"
      “I am so clever that sometimes I don't understand a single word of what I am saying.”
  ","<span class=""authorOrTitle"">
    Oscar Wilde,
  </span>","intelligence,self-deprecation"
"
      “Without music, life would be a mistake.”
  ","<span class=""authorOrTitle"">
    Friedrich Nietzsche,
  </span>","inspirational,music,philosophy"
"
      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”
  ","<span class=""authorOrTitle"">
    Ralph Waldo Emerson
  </span>","accomplishment,attributed-no-source,be-yourself,conformity,individuality"
